DateTime,IP,URL,Request Count,Average Time in sec,Application Status
09-04-2019 00:00,10.128.2.1,POST /process.php HTTP/1.1,260,1.3,Normal
09-04-2019 00:10,10.131.2.1,GET /js/vendor/moment.min.js HTTP/1.1,260,1.3,Normal
09-04-2019 00:35,10.131.2.1,GET /edit.php?name=bala HTTP/1.1,260,1.3,Normal
09-04-2019 00:45,10.131.2.1,GET /logout.php HTTP/1.1,260,1.3,Normal
09-04-2019 01:00,10.130.2.1,GET /login.php HTTP/1.1,260,1.3,Normal
09-04-2019 01:05,10.130.2.1,GET / HTTP/1.1,260,1.3,Normal
09-04-2019 01:45,10.128.2.1,GET /css/font-awesome.min.css HTTP/1.1,260,1.3,Normal
09-04-2019 01:50,10.131.0.1,GET /css/normalize.css HTTP/1.1,260,1.3,Normal
09-04-2019 01:55,10.128.2.1,GET /css/style.css HTTP/1.1,260,1.3,Normal
09-04-2019 02:40,10.131.2.1,GET /login.php HTTP/1.1,260,1.3,Normal
09-04-2019 00:25,10.128.2.1,GET /js/jquery.min.js HTTP/1.1,260,1.3,Normal
09-04-2019 00:30,10.131.2.1,GET /js/chart.min.js HTTP/1.1,260,1.3,Normal
09-04-2019 00:55,10.130.2.1,GET /login.php HTTP/1.1,260,1.3,Normal
09-04-2019 01:20,10.131.0.1,GET /home.php HTTP/1.1,260,1.3,Normal
09-04-2019 01:30,10.130.2.1,GET / HTTP/1.1,260,1.3,Normal
09-04-2019 02:15,10.128.2.1,GET /bootstrap-3.3.7/js/bootstrap.min.js HTTP/1.1,260,1.3,Normal
09-04-2019 02:25,10.131.2.1,GET / HTTP/1.1,260,1.3,Normal
09-04-2019 02:35,10.131.2.1,GET /logout.php HTTP/1.1,260,1.3,Normal
09-04-2019 02:45,10.131.2.1,POST /process.php HTTP/1.1,260,1.3,Normal
09-04-2019 02:50,10.131.2.1,GET /login.php?value=fail HTTP/1.1,260,1.3,Normal
09-04-2019 02:55,10.131.2.1,POST /process.php HTTP/1.1,260,1.3,Normal
09-04-2019 03:00,10.131.2.1,GET /home.php HTTP/1.1,260,1.3,Normal
09-04-2019 03:05,10.131.2.1,GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,260,1.3,Normal
09-04-2019 03:30,10.128.2.1,GET /compiler.php HTTP/1.1,260,1.6,Normal
09-04-2019 00:05,10.128.2.1,GET /home.php HTTP/1.1,260,1.6,Normal
09-04-2019 03:10,10.130.2.1,GET /countdown.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,260,1.6,Normal
09-04-2019 03:15,10.129.2.1,GET /details.php?id=44 HTTP/1.1,260,1.6,Normal
